Coronary Heart Disease,Current Asthma,Diabetes,Mental Health,Obesity,Sleep <7 hours,TractFIPS
6.5,11.1,15.1,19.0,45.1,47.3,22051020600
6.2,9.3,14.4,10.7,34.5,40.8,22071003302
9.3,8.3,14.8,10.6,27.9,31.1,48201553002
5.5,9.3,11.8,11.4,32.4,39.9,22071002503
6.4,9.9,13.6,13.0,35.3,41.9,22071002504
2.1,9.9,6.2,14.1,31.3,39.5,48201240701
5.8,9.6,13.8,12.8,35.0,42.3,22071001702
8.4,10.7,19.1,15.4,45.0,46.5,22051020505
2.9,8.1,8.2,13.0,32.0,37.0,48201550302
4.0,7.1,5.8,9.3,22.2,31.5,22071005602
6.0,10.4,14.5,14.6,38.7,44.7,22071003304
4.1,7.1,6.1,9.3,22.3,31.2,22071005601
6.5,7.9,10.9,12.0,30.8,36.5,22051020506
7.3,9.3,13.8,15.3,37.8,41.1,22051020516
7.9,8.7,12.2,12.0,30.1,31.9,48201250701
2.4,7.6,6.0,10.8,35.3,39.2,48245011201
4.4,7.2,6.6,9.6,22.8,32.3,22071007606
5.1,8.3,10.4,11.0,29.6,38.0,22071003301
5.8,8.2,10.3,12.1,31.0,37.2,22051020515
6.7,8.3,10.9,12.5,31.0,36.8,22051020507
8.5,11.2,19.8,15.7,43.0,47.0,22071001722
6.2,10.4,14.6,14.4,38.2,44.6,22071002501
6.9,10.8,16.6,14.2,39.8,45.4,22071002502
7.7,11.7,19.2,17.9,46.0,49.1,22071001720
4.8,9.2,10.9,13.8,32.5,42.3,22071003303
5.9,9.0,9.4,13.3,29.3,33.6,48201251700
6.9,10.5,17.2,14.5,41.8,46.6,22071001723
10.6,10.3,21.8,13.2,40.8,44.6,22071001701
6.0,7.8,9.9,9.0,25.5,28.9,48201250800
6.4,9.2,13.1,11.5,35.8,36.0,48245001303
5.6,11.2,14.4,15.8,40.7,47.0,22071001735
5.9,10.0,14.8,13.2,37.4,45.1,22071001748
4.6,9.4,8.7,13.9,32.0,37.7,48201553300
5.7,6.8,7.6,7.9,21.2,29.2,22071013301
7.3,8.5,12.3,14.2,34.6,38.9,22051020502
7.4,7.2,10.7,9.3,26.4,33.2,22051020512
5.5,8.0,11.1,11.4,32.4,35.3,48201553200
6.3,7.6,9.3,10.1,26.5,32.5,22051020514
6.1,8.2,10.5,12.4,32.3,38.1,22051020513
5.2,11.3,13.7,16.3,40.7,47.6,22071001736
11.7,11.4,23.7,20.1,44.9,46.9,22071001751
5.9,11.3,14.7,16.8,41.6,47.4,22071001743
4.7,7.2,7.1,8.5,21.1,31.4,22071013302
5.9,8.1,10.3,12.3,31.6,37.5,22051020508
6.4,7.9,9.8,9.8,26.0,29.9,48201251100
5.8,8.0,9.2,10.1,25.7,30.1,48201251000
7.0,8.2,11.1,12.0,30.6,36.7,22051020511
5.1,11.6,13.9,17.3,42.2,48.6,22071001744
6.5,9.4,16.7,14.6,34.2,46.7,22071001741
6.3,8.0,14.9,13.4,24.6,44.8,22071001750
3.4,10.7,8.7,15.9,36.3,39.5,48245002600
9.2,11.8,21.8,15.0,48.4,42.7,48245002200
4.5,8.2,12.0,9.4,30.3,41.3,22071001747
6.8,11.7,16.9,17.0,48.1,44.0,48245002500
7.7,11.1,17.8,15.8,42.4,46.5,22071001724
6.6,8.5,16.3,15.0,28.5,46.2,22071001749
6.1,10.2,15.1,12.7,37.8,44.6,22071001739
7.4,11.3,17.5,15.9,41.7,46.8,22071001725
5.5,7.4,8.9,9.8,27.1,34.3,22051020517
9.2,11.4,22.2,13.4,47.2,42.2,48245002300
5.4,7.7,8.5,8.8,24.2,28.3,48201250900
5.9,10.9,14.3,15.6,40.3,46.5,22071001737
7.7,12.0,18.8,16.8,47.4,43.2,48245002400
4.1,8.9,7.1,12.4,27.4,34.7,48339692300
5.4,10.5,14.3,14.7,39.8,46.7,22071001740
5.7,7.7,8.9,9.1,25.3,29.2,48201251300
7.2,8.6,10.1,11.2,26.9,31.9,48339692400
6.2,8.4,10.0,11.2,28.1,31.3,48201251200
6.6,11.0,16.9,15.8,42.4,47.2,22071001745
6.4,10.0,12.2,13.1,37.3,36.8,48245001302
6.9,8.3,10.2,11.0,27.3,31.1,48201251600
5.1,7.6,8.4,8.8,24.5,28.8,48201251502
9.1,11.5,22.3,15.1,49.0,43.0,48245002100
2.9,7.4,7.0,9.9,26.4,33.6,48201241300
8.4,11.4,20.1,17.5,47.5,42.3,48245002000
7.1,11.0,17.5,16.9,45.7,41.9,48245001900
7.1,11.4,17.3,16.3,42.7,47.6,22071001746
7.8,9.7,14.5,12.5,38.3,36.4,48245001301
9.3,11.9,22.0,15.3,48.8,43.7,48245001700
6.6,9.7,12.2,13.0,37.0,36.0,48245000304
4.5,8.0,7.7,10.8,26.7,31.5,48201251402
4.2,7.7,7.4,9.7,25.1,30.5,48201251503
6.0,9.8,13.6,13.9,41.3,38.5,48245001200
3.8,7.7,6.9,9.7,25.4,30.9,48201251401
6.1,8.0,9.8,8.9,29.2,30.2,48245000310
4.7,9.3,11.7,12.1,37.4,38.9,48245011400
11.2,10.7,21.6,16.5,46.3,39.7,48245011700
5.7,8.5,10.0,10.4,30.7,32.4,48245000309
5.7,8.1,8.7,9.7,29.1,30.0,48245000306
3.5,7.4,6.6,9.2,24.5,30.7,48201251501
5.1,10.3,13.7,14.1,38.3,46.3,22071001730
6.0,9.7,12.2,13.9,39.4,37.4,48245001100
6.3,9.0,10.9,11.8,34.5,33.6,48245000400
5.5,7.6,9.2,8.5,28.0,29.9,48245000302
8.6,12.4,20.8,18.9,51.7,45.3,48245000900
8.3,7.8,11.4,11.4,27.6,34.9,22071001734
7.6,10.5,15.3,13.9,41.3,39.1,48245000500
8.9,12.0,22.4,15.6,50.7,44.4,48245000700
5.5,8.8,10.0,11.2,33.0,34.1,48245000308
6.8,11.4,17.0,15.6,46.7,43.1,48245000600
3.8,8.3,7.6,10.1,30.6,33.7,48245000307
4.5,7.3,7.2,11.7,26.0,34.5,12031016806
3.4,8.0,5.9,11.6,28.4,35.3,22055001402
6.1,10.0,13.2,12.7,40.3,38.9,48245000200
6.5,8.1,10.1,9.8,24.2,27.2,48453002428
3.4,8.0,6.9,10.3,23.6,28.8,48453002407
6.3,7.2,9.3,11.0,26.4,33.1,12031016803
7.3,13.1,18.8,18.6,50.8,45.5,48245000103
4.8,8.0,7.4,11.1,27.5,33.9,22055001404
6.7,8.4,9.4,12.4,29.1,34.4,22055001403
2.8,8.1,6.6,11.6,26.1,31.3,48453001772
6.2,7.0,9.0,9.9,25.2,31.5,12031016804
7.5,8.3,10.2,11.8,30.1,33.9,22055001409
5.5,8.2,8.7,12.2,31.5,36.5,22019001801
2.9,8.0,7.6,11.2,27.8,31.4,48453002426
2.9,7.6,6.3,9.0,22.6,28.0,48453001774
5.0,7.0,8.1,10.4,24.9,33.9,12031016805
5.2,9.4,10.5,12.4,36.0,35.9,48245000101
2.8,7.9,6.7,11.0,25.5,30.5,48453002425
4.4,7.8,6.8,11.0,26.7,33.8,22055001401
3.3,9.0,9.0,13.7,31.5,34.0,48453002435
5.2,8.7,8.1,13.3,30.5,36.0,22055001405
2.7,8.3,6.1,11.3,24.3,29.6,48453002421
5.5,7.6,8.8,12.8,28.4,35.2,12031016807
4.9,9.7,11.2,12.6,39.5,38.7,48245000102
4.9,8.4,7.7,12.0,28.5,34.4,22055001406
2.0,9.1,4.4,13.3,23.4,29.7,48453002429
6.5,8.1,8.7,11.6,28.0,34.7,22019001903
7.6,7.9,10.2,11.1,30.2,34.2,22019001300
6.4,7.9,9.8,13.6,29.1,35.7,12031016808
3.0,7.9,6.1,10.3,23.6,28.9,48453001748
2.3,7.2,5.2,8.5,21.3,28.7,48453001775
5.3,9.2,11.9,14.4,32.1,32.8,48453002430
4.9,7.5,7.9,12.4,27.3,35.4,12031016729
5.0,8.4,7.6,14.0,28.8,36.6,22055001905
4.1,6.7,6.9,10.0,24.0,34.0,12031014412
5.4,7.0,7.3,8.4,24.1,29.6,22055001407
5.4,7.4,7.8,9.4,27.5,33.0,22019001904
7.0,6.9,9.7,9.9,25.3,31.2,12031016801
9.1,7.4,10.9,11.7,25.5,33.0,12031016727
6.4,7.8,8.6,10.6,27.3,32.3,22055001700
3.6,7.9,8.1,10.4,25.7,29.5,48453002423
4.9,8.5,9.6,11.7,27.5,30.1,48453001747
7.3,9.2,14.5,14.9,33.8,33.1,48453002432
5.1,7.3,8.5,11.7,27.1,34.9,12031016728
5.1,9.4,12.2,15.4,33.8,33.9,48453002427
4.6,6.8,7.9,10.1,23.8,34.1,12031014413
5.7,8.1,8.0,12.0,28.7,34.0,22055001411
4.1,8.2,9.0,11.4,27.0,30.3,48453002422
5.2,9.0,7.7,14.7,31.3,37.1,22019001700
3.9,8.2,7.6,10.6,24.2,28.7,48453001746
6.2,10.0,12.1,14.3,39.8,42.8,22019001201
5.0,9.1,7.6,15.1,31.2,38.8,22019001100
6.3,11.8,15.4,18.6,48.1,48.5,22019001202
8.0,7.9,10.7,11.1,30.7,33.8,22019001000
7.2,8.7,10.4,14.2,32.0,36.5,22055001903
7.1,7.3,9.0,8.8,25.5,29.2,22055001600
5.0,9.1,12.3,14.7,32.8,33.5,48453002412
3.3,7.2,6.3,7.7,20.8,26.4,48453001770
6.1,9.0,9.4,14.1,31.8,37.1,22055001801
6.1,7.6,9.4,12.7,28.6,35.2,12031016726
3.7,9.2,9.8,13.9,31.9,34.2,48453002433
2.8,9.0,7.1,14.5,29.0,32.4,48453002419
3.2,7.6,6.5,8.9,22.1,27.4,48453001740
5.3,8.8,10.3,12.5,28.3,30.7,48453002424
4.3,9.1,10.6,14.3,32.1,33.5,48453002431
5.2,7.7,9.7,12.4,29.2,37.8,12031013727
4.2,8.0,8.0,10.0,24.5,28.3,48453001728
7.6,7.4,10.4,9.4,29.1,32.2,22019001901
6.4,8.5,9.4,12.4,29.6,34.5,22055001904
4.5,9.5,11.7,16.4,35.3,35.1,48453002413
6.4,7.8,10.1,13.0,29.2,35.8,12031016722
6.6,7.7,8.5,9.9,26.0,30.9,22055001500
3.4,8.2,7.4,11.5,24.8,29.0,48453002402
9.6,11.8,19.3,24.1,45.6,41.4,48453002319
3.3,8.1,6.7,10.4,23.8,28.5,48453001729
7.4,6.8,10.0,9.2,24.6,29.9,12031016711
7.9,9.5,14.5,12.3,39.5,42.0,22019000900
5.8,8.8,8.2,13.9,28.9,35.2,22055001802
3.1,7.8,6.5,9.9,23.4,28.7,48453001777
8.2,10.0,13.8,16.3,40.9,42.4,22019000800
5.5,9.8,13.3,17.2,36.0,35.1,48453002411
3.5,6.8,6.4,10.7,23.5,35.1,12031014411
4.7,8.9,10.1,13.5,29.3,31.6,48453002410
4.1,7.4,7.1,11.9,25.9,36.2,12031015922
4.9,7.8,9.0,12.9,29.1,37.4,12031016725
8.7,10.2,14.6,16.3,41.4,42.3,22019000700
4.6,8.4,9.8,11.5,27.4,30.2,48453002409
2.9,9.0,4.4,14.1,24.8,35.0,22055002200
4.9,9.0,7.5,14.6,29.9,36.6,22055000604
6.7,8.9,11.7,15.6,33.6,40.2,12031013300
4.9,8.2,8.7,10.6,25.0,28.4,48453001713
3.8,7.8,7.5,9.6,24.3,28.2,48453001776
5.7,8.5,10.4,14.7,32.5,39.8,12031013503
4.7,8.2,9.7,11.4,27.3,29.7,48453002403
5.6,7.8,8.9,13.2,29.0,36.4,12031016724
3.0,7.3,6.1,8.1,20.9,26.8,48453001737
7.1,10.4,15.5,17.4,47.0,48.2,22019001600
5.1,8.0,9.2,13.7,30.5,38.5,12031013726
6.2,8.2,8.0,12.3,27.0,32.6,22055000500
5.6,8.7,9.0,14.1,32.6,37.7,22055001902
5.8,8.6,10.4,15.0,32.6,39.4,12031013723
2.4,7.3,3.8,15.9,25.4,37.0,12031013200
4.6,7.7,8.2,8.9,23.0,27.0,48453001738
4.8,8.6,10.0,12.9,29.4,30.9,48453002003
9.3,11.9,20.7,18.0,50.3,49.0,22019000600
2.8,7.9,5.6,10.2,22.5,27.7,48453001750
4.5,8.0,8.8,13.4,30.3,39.2,12031013522
9.2,11.4,19.0,16.6,44.4,45.8,22055000200
3.4,9.1,8.1,14.7,29.9,33.0,48453002313
5.9,8.6,9.0,12.7,30.0,35.7,22055000603
5.1,8.8,10.8,15.0,34.4,41.9,12031013502
4.6,8.0,8.3,10.2,24.8,28.3,48453002002
3.7,8.6,8.1,13.0,27.3,31.1,48453002307
6.3,8.1,9.7,11.5,32.9,35.8,22019000500
7.5,8.6,11.4,11.4,26.2,28.4,48453001712
6.9,7.5,9.9,11.6,27.3,33.5,12031016603
2.7,8.9,6.8,14.3,28.5,32.7,48453002314
5.2,8.6,9.7,14.7,32.0,40.1,12031013521
6.8,9.8,12.5,18.1,41.5,43.5,22055000100
11.5,11.5,21.2,17.2,44.8,44.2,22055001300
5.5,9.7,13.3,16.7,35.0,34.5,48453002312
6.8,8.8,9.2,13.3,29.9,34.8,22055000602
3.8,7.9,6.9,14.3,28.6,38.1,12031015925
6.1,9.8,13.6,16.2,35.0,34.7,48453002310
7.3,9.5,13.6,14.4,39.0,41.1,22019000100
3.1,9.1,6.0,13.4,24.2,29.1,48453002308
3.1,7.4,5.9,8.8,20.4,27.4,48453001749
10.5,12.7,23.8,19.4,52.5,50.0,22019000400
3.4,9.1,8.3,14.8,27.9,32.2,48453002318
3.8,7.8,7.8,10.5,24.7,28.2,48453001308
4.8,6.6,7.3,9.3,22.5,31.7,12031014406
3.0,8.4,7.3,13.5,28.3,31.7,48453002315
3.9,8.8,7.6,13.2,27.3,30.5,48453002005
3.3,9.0,8.4,15.2,30.5,33.7,48453002316
9.5,12.3,21.1,18.5,47.9,47.8,22055000800
2.7,7.7,5.6,10.2,23.0,28.1,48453002004
10.1,11.3,21.9,16.3,49.2,47.9,22019001500
3.7,8.1,7.7,10.7,25.2,28.4,48453001307
7.9,7.9,11.2,12.6,28.2,34.5,12031016604
6.2,7.6,8.3,12.5,25.8,34.6,12031015926
9.6,13.4,21.4,21.6,50.7,49.4,22055000700
4.8,8.2,9.1,11.6,27.0,29.6,48453001403
8.3,7.3,11.0,10.9,26.1,31.9,12031016500
6.7,8.6,12.7,14.5,34.0,40.8,12031013504
6.1,7.8,8.7,9.2,21.4,26.3,48453001915
8.5,9.8,14.0,18.9,37.2,41.2,12031013402
3.9,7.7,7.1,8.9,22.1,27.0,48453001769
1.7,9.7,4.2,15.8,23.3,30.6,48453002317
11.5,11.5,24.2,17.2,51.4,48.7,22019000200
7.0,9.1,11.2,16.0,31.9,39.8,12031016601
2.8,7.7,6.9,11.5,27.1,30.3,48453002304
3.3,7.9,6.3,9.6,23.1,27.2,48453001402
9.3,12.3,19.1,20.0,47.8,47.4,22055001100
6.4,7.3,8.8,11.0,26.1,33.0,12031013100
10.6,13.5,22.6,20.0,48.6,48.7,22055000900
2.9,7.6,5.3,8.8,21.3,26.4,48453001304
2.8,7.5,4.8,9.0,20.4,26.0,48453001401
3.5,7.5,5.8,8.3,20.5,25.4,48453001901
7.3,10.9,14.7,15.0,40.5,43.5,22055001200
3.2,8.0,6.4,10.1,23.5,27.6,48453001305
7.1,8.6,12.1,15.1,33.3,39.3,12031013404
6.4,8.1,12.8,11.6,28.4,29.6,48453001000
4.1,7.5,6.7,8.3,20.8,25.6,48453001914
11.1,11.7,23.9,16.9,50.6,48.5,22019001400
11.5,12.0,25.2,17.4,52.1,48.9,22019000300
5.6,9.4,13.2,14.1,32.8,33.3,48453002111
6.6,8.5,10.8,14.7,32.6,39.1,12031013403
1.8,7.3,3.6,8.5,18.2,25.9,48453001911
7.4,9.0,13.7,15.3,34.8,40.8,12031012800
7.6,8.2,11.5,13.9,30.8,37.8,12031012900
5.2,8.3,11.9,12.2,29.6,30.6,48453000902
3.5,7.6,6.2,8.7,22.0,26.4,48453001303
7.0,8.3,10.2,14.9,30.4,36.8,12031017300
5.0,8.9,10.8,14.8,34.9,42.4,12031012704
7.2,6.9,9.2,9.4,24.3,30.0,12031013000
3.7,7.2,7.1,7.4,19.6,25.8,48453001917
3.0,8.5,7.0,10.9,24.3,29.6,48453000901
4.2,7.4,7.1,12.4,25.9,35.4,12031015923
3.0,7.0,5.7,8.2,21.6,27.1,48453001100
7.7,8.6,15.9,11.6,30.0,30.2,48453000801
2.7,7.5,5.5,9.2,21.7,27.7,48453001908
4.1,7.7,7.2,13.9,27.7,37.0,12031014401
5.8,9.0,10.3,15.9,33.3,40.4,12031012702
2.1,7.6,3.7,12.6,21.2,33.6,12031014404
7.2,10.5,12.9,16.9,38.5,41.4,22055001001
6.0,6.8,7.5,9.9,22.8,31.4,12031014410
4.8,7.4,7.6,7.8,20.0,24.8,48453001910
5.2,9.5,12.1,13.1,31.5,32.9,48453000804
5.0,8.7,9.4,15.1,32.2,40.4,12031013721
9.6,9.2,14.8,17.0,35.6,40.7,12031012500
8.4,7.7,12.0,12.4,28.7,34.7,12031015924
7.2,8.9,13.3,15.3,33.6,40.5,12031016300
5.8,7.2,8.2,11.1,25.2,32.6,12031014408
9.0,8.5,13.4,14.7,31.6,37.2,12031016000
4.4,7.4,7.5,7.3,20.6,24.3,48453001919
6.0,10.2,14.4,14.6,34.9,34.9,48453000802
2.5,7.4,4.6,8.5,19.4,26.2,48453001200
7.2,7.0,9.3,10.0,25.1,30.7,12031002400
4.1,7.1,6.5,11.0,24.1,33.3,12031014409
5.9,9.9,14.1,14.5,34.4,34.8,48453002110
6.9,8.0,9.6,13.8,28.5,35.7,12031012400
6.4,7.4,9.4,11.4,27.1,33.5,12031016400
3.3,8.2,7.6,10.4,25.0,29.9,48453000803
3.4,9.7,8.9,14.1,30.6,34.5,48453002211
8.1,8.7,13.5,16.4,34.8,39.8,12031016200
3.7,7.2,5.9,8.6,19.3,25.8,48453000700
7.0,10.1,12.0,15.0,37.2,40.6,22055001002
7.2,9.3,11.9,13.0,35.2,38.6,22055001003
7.6,9.2,13.8,15.6,36.5,41.8,12031012602
5.3,10.1,13.1,16.9,37.1,37.0,48453002208
7.2,8.5,12.2,14.6,32.2,39.3,12031012703
7.5,10.2,17.5,12.6,34.2,34.5,48453002109
6.9,6.9,8.8,10.3,24.7,31.6,12031002300
4.6,8.5,9.2,11.1,25.6,29.5,48453000402
1.5,10.5,3.0,20.2,21.5,32.1,48453000604
2.3,7.0,4.4,8.0,18.5,26.8,48453001602
8.3,8.5,13.1,15.7,33.5,38.5,12031016100
3.4,7.5,5.6,8.1,20.2,24.8,48453001605
1.0,10.2,2.1,18.2,19.1,31.1,48453000601
2.2,7.6,4.0,10.0,18.7,26.9,48453000401
1.3,10.8,2.7,20.2,21.5,31.4,48453000603
6.1,8.5,10.8,14.8,32.3,39.4,12031011902
5.2,7.0,7.4,10.6,25.0,32.1,12031002200
7.0,9.4,12.3,15.9,35.7,41.6,12031012601
4.6,7.9,8.5,13.8,28.3,37.6,12031014312
7.4,8.8,11.6,16.0,33.7,39.2,12031012300
5.3,7.3,8.3,12.1,27.3,34.5,12031014331
5.5,7.2,8.8,10.6,26.8,33.6,12031000700
6.8,10.1,15.4,14.1,35.0,34.8,48453002107
2.3,8.2,4.0,11.7,19.6,27.4,48453000500
4.6,6.8,6.7,9.8,23.7,31.4,12031002102
3.6,7.7,6.5,8.9,22.5,26.9,48453000307
2.5,7.9,5.7,10.1,23.4,28.8,48453000306
5.9,10.4,15.1,13.8,35.7,36.2,48453002108
8.3,10.2,14.1,19.6,37.8,42.9,12031012200
3.6,7.3,6.0,7.0,19.7,23.8,48453001603
7.3,7.7,10.2,12.7,28.8,35.3,12031015801
7.6,9.1,12.3,16.3,34.5,40.4,12031015700
2.5,7.8,4.5,9.9,19.6,26.7,48453000302
5.0,7.3,8.3,11.5,26.4,34.8,12031014326
5.0,7.3,7.6,6.8,19.9,22.9,48453001604
4.9,8.4,9.6,14.5,31.6,39.3,12031015802
7.7,8.8,13.3,15.7,34.0,39.7,12031000600
6.9,8.3,10.7,14.7,30.7,37.4,12031014500
14.3,12.6,25.6,22.3,43.8,37.9,48453001606
6.6,8.6,10.8,15.6,32.1,38.6,12031014311
5.5,8.4,10.5,10.6,26.9,29.3,48453002106
7.4,8.4,11.5,14.2,32.0,38.3,12031012000
4.3,7.1,6.9,11.2,24.8,33.6,12031014332
3.0,7.9,5.3,9.7,20.7,26.4,48453000204
6.5,8.2,10.8,13.6,30.1,37.5,12031011903
4.9,11.3,13.7,17.1,37.7,38.0,48453002202
2.2,7.6,4.3,9.7,20.0,26.3,48453000304
4.8,7.3,7.5,11.8,27.1,34.7,12031002101
4.0,9.2,9.9,13.0,31.8,34.1,48453002212
6.9,7.2,9.4,11.0,25.7,32.9,12031017100
5.6,8.0,10.7,13.8,30.2,38.6,12031014338
1.8,8.8,3.6,11.7,18.7,26.7,48453000203
4.4,7.6,9.2,13.2,28.4,39.2,12031014337
6.3,8.1,9.5,14.1,30.1,36.7,12031002502
5.1,6.9,7.7,10.8,25.6,33.1,12031000800
5.6,10.1,12.5,15.9,34.3,34.8,48453002112
5.6,8.8,10.6,12.6,29.6,30.6,48453002104
2.5,8.0,4.5,10.7,21.0,27.3,48453000305
4.4,8.7,10.0,13.3,30.2,32.3,48453002105
8.6,9.6,15.0,16.8,37.5,42.2,12031002501
6.7,10.8,17.0,15.2,37.9,37.4,48453002201
4.0,7.3,7.1,7.3,20.4,24.9,48453001913
5.5,9.2,11.8,11.5,29.7,31.7,48453002113
7.5,7.9,10.8,12.7,29.5,35.5,12031015600
10.5,9.7,16.1,19.3,37.8,41.3,12031012100
8.8,9.1,14.3,16.7,36.3,40.8,12031015501
6.3,10.4,12.0,19.5,38.1,43.6,12031015502
4.8,7.3,6.7,7.9,19.5,24.4,48453000101
5.7,7.4,8.5,7.2,20.8,23.6,48453000102
5.8,9.4,12.5,15.0,33.3,33.7,48453001811
4.4,7.7,7.3,8.7,21.9,26.0,48453000206
2.7,7.6,5.2,9.3,21.4,27.0,48453000205
6.5,8.2,9.9,14.4,30.1,36.9,12031011901
3.7,7.9,7.2,10.9,24.8,28.9,48453001503
10.3,12.7,22.5,23.1,48.9,49.8,12031002600
2.0,6.2,5.5,7.0,16.9,29.4,48453001784
4.5,9.3,10.3,14.9,31.5,33.5,48453001812
8.2,8.5,15.9,14.2,37.7,40.7,12031017200
4.0,7.4,7.9,12.1,26.6,37.5,12031014336
8.3,11.2,18.9,19.0,45.2,48.3,12031017400
4.7,8.0,8.1,13.0,28.7,38.0,12031014604
7.2,8.3,11.6,13.4,31.4,37.9,12031015002
9.8,9.9,18.0,21.4,45.0,47.2,12031001000
4.5,7.5,7.7,7.9,21.5,25.3,48453001912
4.4,7.0,7.8,11.1,26.0,35.5,12031014329
6.7,8.6,11.6,15.0,33.4,39.4,12031015400
7.5,10.5,16.5,18.2,42.7,46.3,12031002702
8.0,8.4,12.7,14.3,33.5,38.6,12031015300
4.0,7.9,6.8,9.6,22.4,27.2,48453001505
9.0,10.5,16.0,20.0,40.8,44.3,12031011800
6.9,8.9,13.5,15.6,37.7,41.7,12031001100
7.2,8.7,12.1,15.8,34.6,40.1,12031015100
5.1,7.5,9.0,12.1,27.3,36.6,12031014328
4.9,8.9,11.0,14.7,31.6,33.5,48453001804
10.6,10.9,23.3,17.4,46.2,47.7,12031002802
5.2,7.7,8.5,7.8,22.2,24.5,48453001783
5.6,8.2,9.5,13.6,30.3,38.0,12031014603
6.7,8.2,11.1,13.7,31.4,38.4,12031015001
10.2,12.7,23.1,21.5,48.2,49.5,12031001600
5.3,9.6,11.8,16.0,33.7,34.4,48453001813
7.6,10.2,17.2,16.6,42.9,46.4,12031002701
4.3,7.5,6.8,8.6,21.3,26.1,48453001504
4.9,7.6,7.6,8.1,21.6,25.3,48453001501
6.4,8.8,11.3,15.5,34.1,40.6,12031015200
6.9,8.9,14.2,14.9,37.8,42.1,12031001200
9.2,10.7,20.7,16.8,44.1,47.2,12031002902
4.2,7.3,6.6,7.8,19.3,25.2,48453001718
4.2,7.1,7.6,11.4,26.8,36.0,12031014335
5.4,7.2,8.5,7.1,20.7,24.2,48453001719
9.7,11.5,19.9,21.0,46.1,48.1,12031000300
2.6,7.9,6.4,10.4,23.7,31.8,48453001834
4.2,8.5,9.7,11.0,27.4,32.2,48453001856
4.7,9.2,11.0,15.4,33.3,34.3,48453001806
8.5,11.1,19.6,18.1,44.8,47.7,12031001500
9.5,8.7,13.0,14.6,36.7,34.9,28047003800
3.6,7.5,6.3,15.2,28.5,38.7,12031013901
5.4,8.9,11.9,14.9,33.2,33.4,48453001805
9.3,10.6,21.7,16.2,45.0,47.0,12031002801
9.1,9.4,13.7,17.6,35.5,39.8,12031011700
1.9,8.0,4.1,11.6,19.7,29.6,48453001752
8.1,10.7,18.9,17.3,43.9,46.7,12031001300
4.3,7.7,8.5,12.1,29.6,38.1,12031014902
6.0,9.1,10.2,16.0,31.1,39.0,12031014800
6.8,8.3,11.5,13.6,31.8,38.2,12031014901
5.7,9.1,10.7,14.0,30.5,31.6,48453001818
10.4,11.4,23.1,18.6,46.8,48.2,12031002901
6.6,7.0,9.8,10.2,26.0,32.4,12031014330
6.7,8.7,10.5,11.4,26.3,28.6,48453001742
6.1,7.2,8.2,10.7,25.3,32.5,12031013906
5.7,8.5,9.8,16.0,31.8,39.1,12031013904
9.1,11.3,20.9,18.5,45.7,48.0,12031000200
6.5,7.3,9.2,6.8,20.0,22.6,48453001751
3.7,7.6,6.6,8.3,21.4,26.4,48453001761
5.5,9.8,12.3,17.3,33.2,35.7,48453001819
6.5,9.3,12.9,13.5,30.9,32.8,48453001833
3.5,7.4,6.4,8.1,21.5,26.5,48453001760
4.8,8.0,8.1,9.8,23.4,27.4,48453001817
10.1,10.7,19.1,16.8,47.2,43.1,28047002600
6.0,7.5,9.5,11.8,28.1,35.3,12031014333
5.9,7.6,10.0,12.0,29.1,36.3,12031014334
11.4,10.8,24.4,16.8,45.6,46.7,12031011600
5.3,7.3,7.9,7.1,19.7,23.7,48453001705
4.6,9.6,11.5,16.2,34.0,35.4,48453001823
7.2,7.9,10.1,12.2,33.2,33.4,28047001400
4.5,9.1,10.4,15.5,33.2,34.3,48453001820
5.5,7.6,8.3,8.3,20.9,25.2,48453001707
1.7,10.0,4.8,16.4,33.2,41.8,12073002603
4.6,9.3,10.5,14.9,31.1,33.6,48453001822
9.6,10.6,17.4,17.6,45.6,42.2,28047002300
7.9,10.1,17.1,16.0,41.4,44.9,12031001400
3.1,8.5,8.2,13.1,28.5,34.6,48453001842
5.5,8.9,8.9,16.2,29.9,35.2,22033004011
7.5,8.4,12.0,13.3,31.3,36.9,12031014702
9.0,11.1,20.7,18.1,45.4,47.9,12031011500
1.3,7.8,2.3,14.6,27.2,34.8,28047002500
6.4,7.0,9.3,10.4,25.7,32.7,12031014601
11.6,10.2,24.3,14.4,42.9,44.6,12031011400
5.4,8.5,10.0,10.7,27.2,30.0,48453001832
8.5,9.4,15.7,15.8,38.4,42.4,12031000100
6.1,8.6,13.2,10.7,32.4,36.5,22033004005
5.2,9.0,10.6,13.3,29.5,32.4,48453001821
7.5,7.1,10.2,8.6,24.3,27.8,22033005000
8.1,9.2,13.6,15.1,39.8,38.7,28047001900
8.8,10.1,15.8,18.1,45.7,42.1,28047002000
4.7,7.4,7.5,7.8,20.6,24.7,48453001706
3.1,9.2,5.3,17.4,25.9,33.7,22033004014
5.2,8.5,9.7,13.4,32.0,39.6,12031014701
5.4,7.8,9.0,9.8,24.2,28.4,48453001824
2.1,7.5,3.6,15.4,25.6,37.5,12031013800
3.6,8.9,8.8,12.6,28.8,32.3,48453001835
6.9,8.4,10.4,14.4,30.7,37.6,12031010600
4.8,8.1,9.7,10.4,25.3,29.5,48453001843
3.7,7.5,6.5,8.1,20.8,25.9,48453001716
