Coronary Heart Disease,Current Asthma,Diabetes,Mental Health,Obesity,Sleep <7 hours,TractFIPS
1.5,10.0,3.1,9.9,25.5,43.6,15003007302
1.6,10.9,3.7,12.1,30.0,48.1,15003006900
3.4,9.9,7.8,10.1,23.8,48.6,15003008412
5.6,10.3,11.0,10.2,25.1,48.0,15003008622
6.4,9.3,13.4,9.7,20.9,48.6,15003004800
3.1,9.3,7.8,9.5,22.0,49.2,15003008405
6.1,8.6,13.1,9.0,19.0,48.8,15003006301
1.1,10.9,2.4,12.1,25.6,46.3,15003007000
4.3,9.5,10.2,10.0,22.3,49.1,15003006809
4.7,9.2,10.6,9.4,21.0,48.9,15003008617
5.4,8.4,10.6,7.0,18.7,43.1,15003004500
4.7,8.9,11.0,9.1,21.3,48.8,15003006808
3.6,10.0,8.4,10.0,23.5,48.5,15003008606
6.3,7.1,13.4,6.2,15.4,44.5,15003006806
7.8,11.1,16.1,14.5,31.4,52.9,15003006302
5.3,11.0,10.8,11.3,27.1,49.0,15003008613
5.5,7.8,11.3,6.9,16.9,44.4,15003004600
5.6,9.3,12.4,9.8,21.1,49.4,15003006802
4.7,8.0,10.7,7.4,18.0,46.0,15003006805
5.4,9.2,12.0,9.9,20.8,49.9,15003006402
1.8,9.3,3.2,9.2,22.2,41.6,15003006600
1.3,9.7,2.8,10.7,23.2,44.0,15003007400
2.4,8.8,4.9,7.1,20.1,41.4,15003008611
1.7,11.4,4.4,12.6,32.5,49.5,15003006804
5.0,9.9,9.0,8.5,22.8,42.9,15003011000
5.1,8.8,10.6,8.5,20.6,47.0,15003007505
1.2,10.0,2.9,9.3,24.5,43.0,15003007506
3.1,10.2,6.7,10.3,23.9,47.0,15003006702
5.0,8.8,10.9,8.9,19.9,48.1,15003006500
1.1,9.4,2.2,11.4,24.5,45.3,15003011400
5.7,10.5,12.3,11.8,28.0,50.9,15003007504
3.5,10.3,7.4,10.0,25.2,46.8,15003008612
5.2,10.9,12.0,13.4,30.2,52.7,15003008703
5.3,9.7,9.6,8.4,22.9,43.5,15003011106
6.0,7.7,12.3,6.8,16.6,44.0,15003006701
5.2,9.6,9.9,8.3,22.4,43.9,15003011103
5.7,8.6,11.9,8.1,19.5,46.2,15003007503
5.5,9.9,9.4,8.6,23.6,43.0,15003011104
5.4,8.8,11.7,8.9,20.1,47.7,15003007701
4.8,9.9,11.7,11.8,24.4,51.8,15003008914
5.7,9.1,11.7,8.2,19.7,45.9,15003010308
5.6,8.7,12.0,8.5,19.0,47.9,15003008913
4.9,9.7,11.0,10.4,23.8,49.8,15003007808
6.2,8.8,13.8,9.8,20.8,49.9,15003008702
5.8,10.2,8.4,8.6,26.0,40.1,15003011202
3.9,9.2,8.7,9.1,22.6,47.2,15003007807
5.4,8.1,12.4,8.5,17.7,49.1,15003008800
8.1,9.8,15.6,10.5,23.9,48.9,15003008001
5.1,8.2,11.8,8.4,17.7,48.7,15003008701
3.7,9.2,8.9,9.4,20.9,48.4,15003008925
4.4,10.0,7.0,8.3,23.5,40.8,15003011105
6.1,8.4,12.1,8.3,18.4,46.8,15003008002
6.9,13.4,13.7,16.2,38.2,54.0,15003940002
3.6,8.1,7.6,10.7,31.0,51.5,15003007502
6.8,9.2,12.2,8.1,20.2,44.5,15003010702
5.3,9.5,10.6,8.7,21.4,45.8,15003010602
5.5,8.1,12.8,8.4,17.6,48.6,15003008912
4.7,9.5,10.7,9.5,22.0,48.7,15003007805
6.1,11.0,10.4,10.7,25.9,46.0,15003010905
5.4,8.3,10.9,7.1,18.7,43.9,15003007702
4.4,10.2,9.6,10.9,25.5,49.0,15003008003
5.1,11.5,9.2,11.3,26.7,46.7,15003010903
6.1,7.8,13.2,7.0,16.9,45.6,15003007804
4.6,8.1,11.2,7.4,17.9,46.1,15003007809
5.5,8.9,11.8,9.0,20.4,48.9,15003008921
3.1,8.7,7.6,8.0,20.1,46.8,15003008922
5.4,9.9,8.2,8.0,24.5,39.6,15003011201
6.6,8.0,14.0,7.2,17.8,46.0,15003008007
6.5,10.3,12.1,9.9,23.9,46.8,15003010601
5.6,11.0,9.6,10.5,27.0,45.3,15003010904
5.2,10.2,10.6,10.4,24.2,48.5,15003010503
3.5,10.0,7.5,9.8,23.8,47.2,15003008614
6.6,8.1,14.0,7.5,18.5,46.0,15003008006
5.3,8.6,10.8,7.7,19.9,45.0,15003007811
5.1,9.5,9.0,8.0,22.9,42.0,15003010701
