,no-obesity,no-asthma,no-mental-health-prob,sleep >7
train,0.7045859030678427,0.7853775748397986,0.5483914808953382,0.8856411895284388
test,0.7027267818584761,0.8022260362056313,0.5772296664875516,0.8254463716024513
