,commute,density,intercept,pollution,safety
obesity,0.1299454399373978,0.056827712828420036,54.34746363628092,0,0.17167550309726146
asthma,0.0,-0.028366968457981284,91.71136868736754,0,0.0
mental,0.04388876512952293,-0.03102888910776542,84.00807126815955,0,0.06133316917002336
sleep,-0.15240358938290316,-0.07217333096278075,71.45873028853912,0,0.0
