TractFIPS,no-obesity,sleep >7,no-asthma,no-mental-health-prob,commute,pollution,density,safety,lat,long
15003000600,80.5,59.4,91.8,93.4,30.69326241134752,89.0,9.304693164923796,99.7624637874,21.262969,-157.8057805
15003001700,76.8,60.5,91.0,92.7,26.546938775510203,86.0,10.804865104663556,99.7624637874,21.2659016,-157.8190416
15003000500,80.2,58.1,91.5,93.0,30.267064280980787,86.0,10.514604495184999,99.7624637874,21.2710955,-157.7806069
15003000114,78.7,61.2,91.3,93.5,35.72826086956522,93.0,10.49808661649871,99.7624637874,21.270857,-157.7086145
15003000700,82.9,55.2,92.1,93.0,25.255426917510857,79.0,11.35484297088836,99.7624637874,21.271328,-157.7927084
15003001600,79.5,53.8,91.2,91.6,24.498071625344352,78.0,12.045736055492242,99.7624637874,21.2719091,-157.8110186
15003001804,77.2,57.4,91.3,92.0,22.984009840098402,41.0,12.774099759920347,99.7624637874,21.27411,-157.8193138
15003001801,73.3,54.4,90.4,90.0,27.41618497109827,50.0,12.555469674004707,99.7624637874,21.2743421,-157.8229992
15003000800,81.7,55.4,91.7,92.5,26.773224043715853,74.0,11.447790324374552,99.7624637874,21.2750339,-157.79834330000003
15003001803,74.7,55.0,90.3,90.2,25.515650741350907,44.0,13.680467563268992,99.7624637874,21.2773646,-157.8218206
15003001400,81.8,54.9,91.6,92.3,27.098747236551212,72.0,11.855535511136365,99.7624637874,21.277215,-157.8062104
15003001500,80.9,54.1,91.2,91.8,25.347634763476343,74.0,12.073761567738378,99.7624637874,21.2783239,-157.8112737
15003002004,73.7,52.9,89.8,89.0,25.98469387755102,39.0,12.614361647886845,99.7624637874,21.2794137,-157.8246574
15003002003,79.0,55.6,90.7,90.8,26.5606884057971,40.0,13.080965727844912,99.7624637874,21.2804041,-157.82715890000003
15003001901,72.5,57.3,90.2,90.6,18.210526315789476,84.0,10.219918766690034,99.7624637874,21.280448100000005,-157.83492819999995
15003002100,78.4,52.4,90.3,90.1,30.365196078431374,74.0,11.47790546581111,99.7624637874,21.279919600000003,-157.8189501
15003000112,80.2,56.7,91.4,92.7,38.9059866962306,88.0,11.443519019577014,99.7624637874,21.2854749,-157.69403530000002
15003000903,81.6,55.7,91.6,92.6,25.84813227189223,81.0,11.766771482423069,99.7624637874,21.2827142,-157.7936695
15003002006,76.2,54.6,90.7,90.5,23.31890874882409,50.0,13.00905612658352,99.7624637874,21.2834566,-157.8292945
15003001300,80.2,53.3,91.0,91.2,25.796908544439674,71.0,11.746993545340414,99.7624637874,21.2833652,-157.80587690000004
15003000402,82.9,58.6,92.4,94.2,30.853215513009324,90.0,10.522774553412988,99.7624637874,21.2854712,-157.76584540000005
15003002201,76.1,51.6,90.4,89.6,24.01304121022431,51.0,12.853796129858091,99.7624637874,21.285506,-157.82179430000005
15003000302,81.1,56.7,91.6,92.9,31.15171503957784,90.0,10.667973327550673,99.7624637874,21.281641,-157.753319
15003001904,76.0,56.8,90.5,91.2,26.548837209302324,66.0,13.759119809597108,99.7624637874,21.2863158,-157.8375251
15003002202,81.0,55.5,91.3,92.1,27.623857868020306,50.0,12.893398003623355,99.7624637874,21.2862693,-157.82861640000004
15003002005,76.5,54.9,90.8,90.9,26.29511111111111,50.0,13.377752894328935,99.7624637874,21.2863555,-157.83240980000005
15003000108,78.7,58.1,91.0,92.6,35.965124077800134,88.0,11.485766453690314,99.7624637874,21.288475,-157.711375
15003001903,78.3,57.0,91.1,91.9,25.00199335548173,59.0,13.635909949889227,99.7624637874,21.2875038,-157.8353766
15003000901,82.0,57.3,91.9,93.1,26.77348551360843,82.0,11.415396521086128,99.7624637874,21.2873806,-157.7845494
15003001201,81.7,54.1,91.4,92.0,28.135967849966512,81.0,11.937287433433909,99.7624637874,21.2874487,-157.8018342
15003002300,77.7,51.2,90.4,89.7,25.51942539993471,68.0,12.951149000940704,99.7624637874,21.289723,-157.8218545
15003002401,77.6,50.8,90.7,89.9,26.226792662590324,76.0,13.142203154738471,99.7624637874,21.289667,-157.828981
15003000902,80.2,57.4,91.3,92.6,28.01157285639137,88.0,11.244996610627098,99.7624637874,21.2908883,-157.7900467
15003002402,77.6,51.0,90.4,89.7,26.411358024691356,70.0,12.760654814599313,99.7624637874,21.292168,-157.8275536
