TractFIPS,no-obesity,sleep >7,no-asthma,no-mental-health-prob,commute,pollution,density,safety,lat,long
2020000204,73.5,70.8,90.7,89.7,34.871744791666664,93.0,3.7576779091973904,38.5992887123296,61.174250300000004,-149.2843294
18097320204,72.5,66.0,90.2,87.7,24.25848563968669,55.0,42.63550370170681,28.681952513740146,39.9184128,-86.10920429999999
6085505008,87.2,68.4,94.1,93.2,29.101826792963468,20.0,53.69857149344345,60.03358793055841,37.4054756,-121.9438837
6085502903,79.0,72.0,92.0,91.3,32.841284403669725,32.0,52.45308965304109,60.03358793055841,37.2779339,-121.90505220000001
6081600401,81.0,65.2,92.8,91.0,33.048470859780714,31.0,59.24665171845041,61.18517749484105,37.7054511,-122.44436100000001
24510260605,66.8,60.1,88.2,84.3,29.363571934798017,9.0,38.45380952979104,15.804471426573258,39.2583782,-76.5496645
29077002800,70.3,70.9,90.9,88.1,21.174193548387095,68.0,41.45976398188808,46.41765102489636,37.1457792,-93.2875497
12099001904,72.2,56.4,91.7,86.6,24.514358974358977,34.0,47.85934342593606,51.861325178400975,26.7545887,-80.0994801
55025000600,61.3,62.6,88.9,82.8,23.038449214995193,19.0,49.15440069691297,61.765199464706235,43.0269203,-89.4572378
36061026900,74.6,62.6,89.2,84.7,43.63839785186842,1.0,75.79245014063646,45.90785929127411,40.8505568,-73.9309745
17019001205,74.3,72.2,92.0,91.7,22.59556620730977,83.0,31.728134053689747,48.73329264618789,40.0824695,-88.3304876
6037135102,78.6,67.4,92.1,90.0,34.03912148249828,17.0,50.52552595150597,53.158798934114984,34.1886366,-118.61745520000001
12105010401,70.4,69.0,92.3,89.1,23.562417871222078,39.0,51.1092615444819,56.856582284055456,28.033668900000002,-81.9535918
6073020013,81.5,68.8,92.4,90.3,31.500523743016767,28.0,45.83469575378836,56.07622815967629,33.1173858,-117.2489029
32003003213,80.7,71.7,92.9,92.7,23.690402476780186,77.0,45.14284174423482,43.947904707312745,36.2092685,-115.3111745
39035103500,67.3,62.6,90.1,85.8,23.95243757431629,8.0,51.488699790838815,50.22965382966676,41.4797256,-81.7201684
1097000702,48.7,54.1,88.3,83.5,26.02640845070423,39.0,49.558796648173846,49.03877801191144,30.721193300000003,-88.0938075
29037060302,67.2,67.0,90.8,87.7,31.439805327868854,83.0,29.741938955602908,63.00785150587447,38.7897136,-94.4304762
6013381000,61.6,59.2,88.9,84.2,35.82137883008356,22.0,53.61728904142037,54.85053052296628,37.9301964,-122.3350269
48329010107,70.4,68.9,91.8,89.5,21.25093984962405,86.0,44.79386217739488,58.69284566793366,32.039536600000005,-102.1340733
17113006000,66.4,64.9,90.7,87.6,26.57135728542914,99.0,6.065626685884482,57.93863155082271,40.37658629999999,-89.1548105
12031011800,59.2,55.7,89.5,80.0,24.452380952380953,11.0,34.04748890601226,46.38546956716814,30.338916700000002,-81.74168900000002
4013420800,71.2,64.3,89.8,86.7,28.199019607843137,13.0,49.31675787210964,54.48441319941053,33.431638,-111.79517620000001
36005003900,65.5,59.6,88.5,83.2,46.05131086142322,1.0,71.96845970300578,45.98322150893629,40.8097217,-73.9214264
6059074601,70.0,64.3,90.9,84.8,28.035826884494124,6.0,60.256326398023184,61.85075116547339,33.734324,-117.8712797
27053026815,75.3,67.8,91.8,89.6,27.857087975412984,28.0,46.60386309426416,54.48922295010955,45.0965732,-93.29019709999999
6073008328,83.6,69.6,92.8,91.5,25.84910836762689,45.0,41.774228570837245,56.07622815967629,32.9681818,-117.20614479999999
6081610203,66.9,63.6,90.8,84.4,29.23419892209701,16.0,58.56893236364798,61.18517749484105,37.479737899999996,-122.22360049999999
39049000120,75.0,68.9,91.9,90.8,22.8868778280543,48.0,45.16954429673632,53.41851235024936,40.05104650000001,-83.0236812
36005045800,62.6,57.1,86.2,82.1,58.5016501650165,3.0,70.68014047746232,45.98322150893629,40.88586110000001,-73.8452028
48355000800,59.5,63.8,90.8,85.6,20.63020833333333,81.0,24.233187148313927,46.57602718286929,27.782273999999997,-97.46471600000001
6073009705,81.1,70.0,92.2,90.2,27.08590534979424,15.0,47.89135029034976,56.07622815967629,32.7849587,-117.07338840000001
22071007502,56.3,53.1,88.4,83.6,26.30728775356875,17.0,53.95798173088842,40.23195023340952,29.9652971,-90.120395
48201541800,70.8,64.1,91.1,86.6,29.423316912972087,38.0,45.51028753205518,43.52824457460122,29.7959745,-95.70371949999999
48041000300,64.1,61.8,90.2,85.3,23.29778609292173,19.0,42.48703753788398,54.152400815380766,30.7070076,-96.3864415
53033030305,73.4,69.1,90.2,88.5,40.95294616362865,26.0,46.52337124051398,57.28210758766223,47.318988899999994,-122.3888645
6029000507,74.0,65.3,91.3,88.5,23.63179347826087,1.0,31.801561795960446,48.13692689072601,35.386741,-119.0634239
6073010005,71.4,64.1,90.8,84.1,34.5083081570997,11.0,57.286109371762876,56.07622815967629,32.564185200000004,-117.0496293
6073020022,78.5,66.6,91.5,87.4,29.179078014184395,32.0,47.42944940413722,56.07622815967629,33.1623466,-117.1529163
39061007900,61.1,56.3,88.8,84.6,28.19267299864315,25.0,47.08005780321236,53.118364884114705,39.1709925,-84.54888079999998
6059011000,78.1,68.4,91.9,89.5,32.04456906729634,4.0,50.73095943672901,61.85075116547339,33.873524100000004,-117.95359309999999
48439113113,71.8,62.8,91.3,89.3,26.108890420399717,38.0,50.78078064326171,54.2565242709574,32.800514299999996,-97.0585952
49057200400,59.5,63.3,89.5,83.1,22.28791469194313,67.0,42.18062401432493,62.299780526039925,41.240136299999996,-111.97962079999999
4019004071,74.1,68.1,89.3,87.3,22.70403190075321,56.0,54.220286323641346,51.88086375566933,32.2287665,-110.8193648
6037117408,67.0,59.7,90.6,82.4,36.93723252496433,13.0,60.76473815977828,53.158798934114984,34.2248464,-118.4703709
36081015300,78.4,62.2,90.7,88.9,40.04186413902054,1.0,67.67673750292349,46.04632381032317,40.7580816,-73.9136474
6061020901,72.5,65.4,90.5,85.1,27.262032085561504,10.0,47.445750227929494,63.11001904734006,38.7381999,-121.29330700000001
1097002400,52.2,54.6,88.6,82.3,28.716071428571425,37.0,47.79701648073703,49.03877801191144,30.6690791,-88.0925582
36047018400,83.1,60.8,90.4,89.0,48.883400809716605,5.0,65.4654276668774,46.05195484620812,40.6137054,-74.0071447
42003281400,63.8,57.4,87.9,83.7,30.194285714285716,29.0,49.04357890525855,54.51193430661821,40.447136,-80.051958
48215021000,62.9,65.0,90.8,83.9,23.60221285563752,84.0,46.2433592383898,58.06446103785544,26.209370800000002,-98.2180347
6037480302,80.6,63.5,93.0,90.0,33.76382380506092,6.0,55.7542269638555,53.158798934114984,34.1012449,-118.1218022
4013115500,62.6,59.6,88.8,82.4,29.826405867970657,30.0,47.27760161985982,54.48441319941053,33.399385200000005,-112.14226699999999
40027201202,71.1,64.1,86.9,73.9,16.808143547273982,67.0,54.99592633674814,57.256923825849825,35.20388900000001,-97.4456979
27053102300,63.7,62.2,89.2,86.4,18.524193548387093,12.0,44.099046506743846,54.48922295010955,44.9986375,-93.2809123
55025003002,70.1,68.0,90.6,87.0,23.936061381074172,12.0,49.859733932960594,61.765199464706235,43.10224470000001,-89.3026265
44003021001,70.5,62.7,88.1,86.0,25.81590909090909,46.0,48.54882824654582,65.4676212332129,41.7590124,-71.41300799999998
51760050600,78.2,73.3,92.8,93.1,21.51705756929637,19.0,38.626571181617656,45.4873019067279,37.549808399999996,-77.50071679999998
47157020524,53.7,54.0,87.0,82.2,27.52562761506276,48.0,44.8935227882906,19.810466292162378,35.2368266,-89.9448346
6067005205,74.1,64.1,89.8,86.3,28.100508905852408,25.0,32.76014725100624,49.21568696606216,38.5374689,-121.39551019999999
39049000210,75.3,68.4,92.0,90.7,24.244762391415435,35.0,48.81095425003391,53.41851235024936,40.0438151,-83.00509770000002
6019005514,75.1,70.1,91.8,91.0,21.264930114358325,40.0,47.57636881349609,49.72904177803115,36.8448035,-119.7202981
12031012000,68.0,61.7,91.6,85.8,28.703579952267305,17.0,43.8803029764889,46.38546956716814,30.310233500000002,-81.7666953
6037901008,73.2,61.8,91.2,86.9,29.28861429832304,36.0,44.97581032706166,53.158798934114984,34.69664229999999,-118.1748108
8031004202,83.2,74.3,91.2,90.4,24.55292411793136,10.0,50.4469426391419,47.246406687642704,39.7455989,-104.9128777
29095001000,59.8,55.5,87.6,80.3,29.21157684630739,28.0,50.27419998648008,30.861904925981488,39.1116526,-94.5557347
6075030201,85.4,71.5,92.5,91.2,38.72337042925278,12.0,63.763821215364814,43.324450367454766,37.7628136,-122.47378400000001
4013092307,69.4,62.1,89.1,85.4,34.605485232067515,15.0,51.112784743678034,54.48441319941053,33.5587571,-112.17814579999998
