health,commute,density,intercept,pollution,safety
obesity,0.116498676553268,0.062643472183302,53.8515250674791,0,0.183716548378222
asthma,0,-0.030529281278861,91.8110031049717,0,0
sleep,-0.162140691190723,-0.072689776224167,71.7371368979772,0,0
